stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
CF,2023-09-30,2023-11-01,1.14,1.03,0.11,10.6796
CF,2023-06-30,2023-08-02,2.71,2.25,0.46,20.4444
CF,2023-03-31,2023-05-01,2.9,2.52,0.38,15.0794
CF,2022-12-31,2023-02-15,4.28,4.3,-0.02,-0.4651
CF,2022-09-30,2022-11-02,2.27,3.33,-1.06,-31.8318
CF,2022-06-30,2022-08-01,6.19,6.03,0.16,2.6534
CF,2022-03-31,2022-05-04,4.21,4.35,-0.14,-3.2184
CF,2021-12-31,2022-02-15,3.27,3.55,-0.28,-7.8873
CF,2021-09-30,2021-11-03,-0.86,0.99,-1.85,-186.8687
CF,2021-06-30,2021-08-09,1.15,1.57,-0.42,-26.7516
CF,2021-03-31,2021-05-05,0.73,0.6,0.13,21.6667
CF,2020-12-31,2021-02-17,0.4,0.11,0.29,263.6364
CF,2020-09-30,2020-11-04,-0.09,0.07,-0.16,-228.5714
CF,2020-06-30,2020-08-05,0.89,0.65,0.24,36.9231
CF,2020-03-31,2020-05-06,0.31,0.25,0.06,24
CF,2019-12-31,2020-02-12,0.33,0.26,0.07,26.9231
CFG,2025-03-31,2025-04-16,0.77,0.75,0.02,2.6667
CFG,2024-12-31,2025-01-17,0.85,0.83,0.02,2.4096
CFG,2024-09-30,2024-10-16,0.79,0.79,0,0
CFG,2024-06-30,2024-07-17,0.82,0.79,0.03,3.7975
CFG,2024-03-31,2024-04-17,0.79,0.76,0.03,3.9474
CFG,2023-12-31,2024-01-17,0.85,0.84,0.01,1.1905
CFG,2023-09-30,2023-10-18,0.89,0.91,-0.02,-2.1978
CFG,2023-06-30,2023-07-19,1.04,1,0.04,4
CFG,2023-03-31,2023-04-19,1.1,1.13,-0.03,-2.6549
CFG,2022-12-31,2023-01-17,1.32,1.32,0,0
CFG,2022-09-30,2022-10-19,1.3,1.27,0.03,2.3622
CFG,2022-06-30,2022-07-19,1.14,1.02,0.12,11.7647
CFG,2022-03-31,2022-04-19,1.07,0.91,0.16,17.5824
CFG,2021-12-31,2022-01-19,1.26,1.13,0.13,11.5044
CFG,2021-09-30,2021-10-20,1.22,1.15,0.07,6.087
CFG,2021-06-30,2021-07-20,1.46,1.14,0.32,28.0702
CFG,2021-03-31,2021-04-16,1.41,0.98,0.43,43.8776
CFG,2020-12-31,2021-01-20,1.04,0.88,0.16,18.1818
CFG,2020-09-30,2020-10-16,0.73,0.75,-0.02,-2.6667
CFG,2020-06-30,2020-07-17,0.55,0.15,0.4,266.6667
CFG,2020-03-31,2020-04-17,0.94,0.67,0.27,40.2985
CFG,2019-12-31,2020-01-17,0.99,0.95,0.04,4.2105
